Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/10:15:18:35 0750669594 0 15057 1300 57880
2016/02/10:17:05:31 0750669594 0 15056 3893 67988
2016/02/10:18:30:20 0750669594 0 15056 3893 68060
2016/02/10:22:29:12 0750669594 0 15050 3893 87930
2016/02/11:07:47:16 0750669594 0 15033 3893 44744
2016/02/11:09:37:35 0750669594 0 15029 3893 67695
2016/02/11:10:04:10 0750669594 0 15029 3893 67695
2016/02/11:11:54:44 0750669594 0 15026 3893 67150
2016/02/11:12:04:09 0750669594 0 15026 3893 67150
2016/02/11:12:10:53 0750669594 0 15026 3893 67150
2016/02/11:12:55:37 0750669594 0 15026 3893 68856
2016/02/11:14:08:49 0750669594 0 15023 3893 68856
2016/02/11:15:28:06 0750669594 0 15020 3893 70649
2016/02/11:17:14:07 0750669594 0 15017 3893 76712
2016/02/11:19:02:29 0750669594 0 15014 3893 76799
2016/02/11:22:07:39 0750669594 0 15009 3893 91140
2016/02/12:07:34:35 0750669594 0 14997 3892 128523
2016/02/12:09:23:51 0750669594 0 14994 3892 141675
2016/02/13:12:46:40 0750669594 0 14957 3888 197422
2016/02/13:13:30:03 0750669594 0 14955 3888 197344
2016/02/13:13:38:19 0750669594 0 14955 3888 197344
2016/02/13:15:23:45 0750669594 0 14954 3888 199408
2016/02/18:17:21:23 0750669594 0 14783 3871 373905
2016/02/18:18:07:32 0750669594 0 14783 3871 374007
2016/02/18:19:15:21 0750669594 0 14783 3870 374007
2016/02/18:20:44:02 0750669594 0 14783 3870 373969
2016/02/18:21:46:06 0750669594 0 14783 3870 379798
2016/02/18:22:43:44 0750669594 0 14783 3870 379941
2016/02/19:07:52:00 0750669594 0 14783 3869 391057
2016/02/19:09:37:57 0750669594 0 14783 3869 391980
2016/02/19:11:29:18 0750669594 0 14783 3869 392519
2016/02/19:13:06:40 0750669594 0 14781 3868 391418
2016/02/19:15:03:37 0750669594 0 14781 3867 391418
2016/02/19:16:53:24 0750669594 0 14780 3866 391102
2016/02/19:17:25:53 0750669594 0 14778 3866 391102
2016/02/19:17:42:19 0750669594 0 14778 3865 392659
2016/02/19:19:31:47 0750669594 0 14774 3863 390605
2016/02/19:20:28:51 0750669594 0 14772 3862 390605
2016/02/19:22:14:25 0750669594 0 14769 3859 395104
2016/02/20:02:03:02 0750669594 0 14762 3856 397903
2016/02/20:06:10:36 0750669594 0 14753 3854 405639
2016/02/20:09:19:15 0750669594 0 14744 3854 407830
2016/02/20:10:36:39 0750669594 0 14741 3854 408160
2016/02/20:11:15:57 0750669594 0 14739 3853 406660
2016/02/20:12:09:04 0750669594 0 14738 3852 406660
2016/02/20:13:07:04 0750669594 0 14736 3850 406770
2016/02/20:14:28:35 0750669594 0 14735 3848 404806
2016/02/20:15:39:35 0750669594 0 14732 3846 403412
2016/02/20:16:53:55 0750669594 0 14729 3844 403440
2016/02/20:18:48:53 0750669594 0 14726 3840 403609
2016/02/20:19:40:27 0750669594 0 14726 3838 401048
2016/02/20:21:21:26 0750669594 0 14723 3837 401048
2016/02/20:21:45:01 0750669594 0 14723 3836 404025
2016/02/21:02:26:01 0750669594 0 14714 3832 407706
2016/02/21:09:46:35 0750669594 0 14703 3832 413281
2016/02/21:10:53:48 0750669594 0 14702 3830 413281
2016/02/21:11:44:48 0750669594 0 14699 3829 412163
2016/02/21:14:14:48 0750669594 0 14696 3824 410614
2016/02/21:15:00:19 0750669594 0 14694 3823 409013
2016/02/21:17:21:55 0750669594 0 14691 3820 409503
2016/02/21:17:45:58 0750669594 0 14690 3819 409503
2016/02/21:18:16:25 0750669594 0 14690 3818 409549
2016/02/21:20:16:06 0750669594 0 14687 3815 406983
2016/02/21:22:03:40 0750669594 0 14684 3813 409665
2016/02/21:22:27:57 0750669594 0 14684 3812 409665
2016/02/21:23:38:40 0750669594 0 14682 3811 406979
2016/02/22:07:50:21 0750669594 0 14667 3809 417762
2016/02/22:09:53:52 0750669594 0 14664 3809 416753
2016/02/22:11:04:58 0750669594 0 14663 3808 418625
2016/02/22:12:02:42 0750669594 0 14661 3807 418625
2016/02/22:15:23:13 0750669594 0 14657 3801 418053
2016/02/22:16:45:55 0750669594 0 14654 3799 417773
2016/02/23:09:34:02 0750669594 0 14627 3787 426162
2016/02/23:11:00:21 0750669594 0 14624 3785 428761
2016/02/23:12:03:16 0750669594 0 14622 3783 427173
2016/02/23:13:53:47 0750669594 0 14621 3780 426466
