Time: ISBN: Retail-Price: Lowest-Used-Price: Lowest-New-Price: Sales-Rank 
2016/02/27:08:11:31 1137327537 2159 1733 2015 295876
2016/02/27:09:42:37 1137327537 2159 1733 2015 296663
2016/02/27:10:43:05 1137327537 2159 1733 2015 297036
2016/02/27:12:22:14 1137327537 2159 1733 2015 295507
2016/02/27:14:27:36 1137327537 2159 1786 2015 294708
2016/02/27:16:34:34 1137327537 2159 1786 2015 293786
2016/02/27:17:09:53 1137327537 2159 1786 2015 293813
2016/02/27:17:51:37 1137327537 2159 1754 2015 293813
2016/02/27:19:45:43 1137327537 2159 1754 2015 295120
2016/02/27:23:58:25 1137327537 2159 1754 2015 297992
2016/02/28:00:30:08 1137327537 2159 1733 2015 297992
2016/02/28:03:44:33 1137327537 2159 1733 2015 41714
2016/02/28:10:29:08 1137327537 2159 1733 2015 72846
2016/02/28:11:17:00 1137327537 2159 1733 2015 73223
2016/02/28:13:20:00 1137327537 2159 1786 2015 75331
2016/02/28:17:24:25 1137327537 2159 1766 2015 86617
2016/02/28:19:36:13 1137327537 2159 1754 2015 96017
2016/02/28:20:51:06 1137327537 2159 1754 2015 96213
2016/02/28:22:22:37 1137327537 2159 1733 2015 109100
2016/02/28:23:02:28 1137327537 2159 1733 2015 109304
2016/02/29:09:28:31 1137327537 2159 1733 2015 149313
2016/02/29:10:36:33 1137327537 2159 1733 2015 149500
2016/02/29:11:58:20 1137327537 2159 1786 2015 149561
2016/02/29:12:27:24 1137327537 2159 1786 2015 152995
2016/02/29:12:46:40 1137327537 2159 1786 2015 152995
2016/02/29:13:50:24 1137327537 2159 1786 2015 153089
2016/02/29:15:26:43 1137327537 2159 1786 2015 157492
2016/02/29:15:48:07 1137327537 2159 1786 2015 157492
2016/02/29:16:22:44 1137327537 2159 1786 2015 157492
2016/03/01:02:16:35 1137327537 2159 1754 2015 194533
2016/03/01:09:32:55 1137327537 2159 1733 2015 215555
2016/03/01:11:57:20 1137327537 2159 1733 2015 220198
2016/03/01:14:54:35 1137327537 2159 1733 2015 220737
2016/03/01:15:20:05 1137327537 2159 1733 2015 220971
2016/03/01:18:43:31 1137327537 2159 1733 2015 228551
2016/03/01:20:04:07 1137327537 2159 1733 2015 228614
2016/03/01:21:03:01 1137327537 2159 1733 2015 238330
2016/03/01:21:55:06 1137327537 2159 1733 2015 237440
2016/03/01:23:10:40 1137327537 2159 1733 2015 237662
2016/03/01:23:26:10 1137327537 2159 1733 2015 237662
2016/03/02:07:26:53 1137327537 2159 1733 2015 260151
2016/03/02:09:41:24 1137327537 2159 1733 2015 258916
2016/03/02:12:01:46 1137327537 2159 1733 2015 264209
2016/03/02:12:49:57 1137327537 2159 1733 2015 263138
2016/03/02:15:54:07 1137327537 2159 1733 2015 261848
2016/03/02:16:49:25 1137327537 2159 1733 2015 262456
2016/03/02:18:45:08 1137327537 2159 1769 2015 266007
2016/03/02:19:32:31 1137327537 2159 1769 2015 266042
2016/03/02:19:39:30 1137327537 2159 1769 2015 266042
2016/03/02:21:24:13 1137327537 2159 1769 2015 273764
2016/03/02:23:07:39 1137327537 2159 1769 2015 272856
2016/03/03:09:26:40 1137327537 2159 1788 2015 81001
2016/03/03:10:22:18 1137327537 2159 1788 2015 81001
2016/03/03:10:37:26 1137327537 2159 1788 2015 81001
2016/03/03:11:38:50 1137327537 2159 1788 2015 93629
2016/03/03:12:14:52 1137327537 2159 1788 2015 93629
2016/03/03:12:38:46 1137327537 2159 1788 2015 93629
2016/03/03:13:01:19 1137327537 2159 1788 2015 95713
2016/03/03:15:13:15 1137327537 2159 1788 2015 97581
2016/03/03:17:12:10 1137327537 2159 1788 2015 102491
2016/03/03:17:46:03 1137327537 2159 1788 2015 102491
2016/03/03:18:05:21 1137327537 2159 1788 2015 102491
2016/03/03:18:32:02 1137327537 2159 1788 2015 111767
2016/03/03:19:55:07 1137327537 2159 1788 2015 111879
2016/03/03:20:41:23 1137327537 2159 1788 2015 125577
2016/03/04:07:33:13 1137327537 2159 1769 2015 156972
2016/03/04:09:11:39 1137327537 2159 1769 2015 164431
2016/03/04:09:46:35 1137327537 2159 1769 2015 164431
2016/03/04:11:07:32 1137327537 2159 1769 2015 164749
2016/03/04:11:34:54 1137327537 2159 1769 2015 164749
2016/03/04:11:53:31 1137327537 2159 1788 2015 164749
2016/03/04:13:04:38 1137327537 2159 1788 2015 164476
2016/03/04:16:24:48 1137327537 2159 1788 2015 166517
2016/03/04:17:02:35 1137327537 2159 1788 2015 171529
2016/03/04:19:26:44 1137327537 2159 1788 2015 178970
2016/03/04:20:06:06 1137327537 2159 1788 2015 178970
2016/03/04:21:13:28 1137327537 2159 1788 2015 178970
2016/03/04:22:35:36 1137327537 2159 1788 2015 189554
2016/03/04:23:30:38 1137327537 2159 1788 2015 189554
2016/03/05:08:40:42 1137327537 2159 1769 2015 58542
2016/03/05:09:56:59 1137327537 2159 1769 2015 67896
2016/03/05:10:55:10 1137327537 2159 1769 2015 69791
2016/03/05:11:50:26 1137327537 2159 1788 2015 69791
2016/03/05:12:14:48 1137327537 2159 1788 2015 69791
2016/03/05:12:35:06 1137327537 2159 1788 2015 69791
2016/03/05:12:50:55 1137327537 2159 1788 2015 69791
2016/03/05:17:36:45 1137327537 2159 1754 2015 79314
2016/03/05:19:26:15 1137327537 2159 1754 2015 79359
2016/03/05:20:15:15 1137327537 2159 1754 2015 22251
2016/03/05:21:45:50 1137327537 2159 1754 2015 30798
2016/03/05:23:06:38 1137327537 2159 1754 2015 31776
2016/03/06:03:46:59 1137327537 2159 1733 2015 49628
2016/03/06:08:33:40 1137327537 2159 1733 2015 64228
