Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/18:19:18:04 027378563X 4749 3800 3160 18857
2016/02/18:20:46:45 027378563X 4749 3800 3160 18585
2016/02/18:21:48:49 027378563X 4749 3800 3160 12096
2016/02/18:22:46:27 027378563X 4749 3800 3160 12096
2016/02/19:07:54:43 027378563X 4749 3800 3160 13787
2016/02/19:09:40:40 027378563X 4749 3800 3160 13789
2016/02/19:11:32:14 027378563X 4749 3800 3160 15919
2016/02/19:13:09:23 027378563X 4749 3800 3160 16403
2016/02/19:15:06:21 027378563X 4749 3800 3160 16403
2016/02/19:16:56:07 027378563X 4749 3800 3159 18204
2016/02/19:17:28:36 027378563X 4749 3800 2984 18204
2016/02/19:17:45:04 027378563X 4749 3800 2984 21792
2016/02/19:19:34:30 027378563X 4749 3800 2984 21792
2016/02/19:20:31:37 027378563X 4749 3800 2984 20959
2016/02/19:22:17:08 027378563X 4749 3800 2984 26720
2016/02/20:02:05:45 027378563X 4749 3800 2984 30002
2016/02/20:06:13:20 027378563X 4749 3800 2984 36747
2016/02/20:09:21:58 027378563X 4749 3800 2984 39523
2016/02/20:10:39:22 027378563X 4749 3800 2984 39555
2016/02/20:11:18:40 027378563X 4749 3800 2984 38109
2016/02/20:12:11:46 027378563X 4749 3800 2984 38109
2016/02/20:13:09:47 027378563X 4749 3800 2984 38109
2016/02/20:14:31:19 027378563X 4749 3800 2984 36951
2016/02/20:15:42:18 027378563X 4749 3800 2984 36968
2016/02/20:16:56:38 027378563X 4749 3800 2984 38933
2016/02/20:18:51:36 027378563X 4749 3800 2984 44558
2016/02/20:19:43:10 027378563X 4749 3800 2984 44558
2016/02/20:21:24:09 027378563X 4749 3800 2984 58031
2016/02/20:21:47:44 027378563X 4749 3800 2984 58031
2016/02/21:02:28:43 027378563X 4749 3800 2984 71600
2016/02/21:09:49:18 027378563X 4749 3800 2984 75751
2016/02/21:10:56:31 027378563X 4749 3800 2984 75751
2016/02/21:11:47:31 027378563X 4749 3800 2984 70876
2016/02/21:14:17:31 027378563X 4749 3800 2984 66299
2016/02/21:15:03:02 027378563X 4749 3800 2984 66299
2016/02/21:17:24:39 027378563X 4749 3800 2984 65910
